tail_number,model_name,delivery_location ,army_command,unit_name ,current_location,contract_number,delivery_date,Remark ,active_status,warranty_period,formation
JF-2(221),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(222),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(223),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(224),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(225),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(226),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(227),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(228),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(229),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(230),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(231),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(232),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(233),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(234),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(235),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(236),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(237),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(238),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(239),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(240),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(241),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(242),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(243),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(244),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(245),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(246),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(247),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(248),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(249),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
